Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,What's new? Who are you? Stranger?,,"?  up  how  are  you  _ ",0.1441067813478488,0.6100746194521586,0.0013295691,0.81609744,,,,,,,,,
1,,What's new? Who are you? Stranger?,Nicole," What's new? Who are you? Stranger?","? ",0.0,0.3809813857078552,0.68163854,0.796168,,,,,,,,,
2,,Nicole,So your name is Nicole?," What's new? Who are you? Stranger? Nicole","?  whose  name ? ? ",0.25509378463029864,0.595996305346489,0.99716645,0.74840045,,,,,,,,,
3,,So your name is Nicole?,yes," What's new? Who are you? Stranger? Nicole So your name is Nicole?","? ",0.0,0.09677795320749283,0.9857895,0.73552406,,,,,,,,,
4,Leolani2,yes,Do you have any gossip?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes"," do  you  know  any  hobbies ",0.5469692796468735,0.6707019984722138,0.98891413,0.67175364,3,3,3,3,3,3,3,3,3
5,Nicole,Do you have any gossip?,My hair color is brown," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip?"," her  favorite  color  is  blue ",0.3350360557436943,0.5915946692228318,0.9958387,0.57062954,,,,,,,,,
6,Leolani2,My hair color is brown,"I just learned something, I did not know anything that my hair color is"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown"," i  just  learned  that  i  do  not  know ,  about  my  hair  color  is ",0.5976024035896573,0.7733866018908364,0.9941179,0.5970521,2,3,2,2,3,2,2,2,2
7,Nicole,"I just learned something, I did not know anything that my hair color is",Do you have hair?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is"," do  you  like  any ",0.4481934681534767,0.7513071969151497,0.9896955,0.6024414,,,,,,,,,
8,Leolani2,Do you have hair?,"I know agent usually do noun.body, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair?"," i  know  i  i  the ,  no  i  do  not  in  the  fact ",0.285514228619062,0.5626614953462894,0.9644173,0.65127516,2,2,2,2,2,2,2,2,1
9,Nicole,"I know agent usually do noun.body, but I do not know this case",Do you have fingers?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case"," do  you  have  hair ",0.7218320518732071,0.9601972252130508,0.11791346,0.66056406,,,,,,,,,
10,Leolani2,Do you have fingers?,"I know agent usually do noun.body, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers?"," i  know  they  usually  do ,  but  i  do  not  know  this  case ",0.84557155920909,0.9258668560248154,0.99832135,0.9867422,2,2,2,2,2,2,2,2,1
11,Nicole,"I know agent usually do noun.body, but I do not know this case",I have 10 fingers,"e is Nicole? yes Do you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case"," i  have  no  fingers ",0.6584600657224655,0.738264411687851,0.9979685,0.99071044,,,,,,,,,
12,Leolani2,I have 10 fingers,I am curious. Has nicole ever write by a book?,"o you have any gossip? My hair color is brown I just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers"," i  am  curious did  he  been  been  in  the  robot ",0.16506551154889165,0.48294752687215803,0.996897,0.23418662,1,1,1,1,1,1,1,3,3
13,Nicole,I am curious. Has nicole ever write by a book?,"No but I can write "," just learned something, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book?",", ,  she  would  read  by ",0.08167972291509311,0.47027913232644397,0.9972268,0.36907223,,,,,,,,,
14,Leolani2,"No but I can write ",I do frequently do not know things,"ing, I did not know anything that my hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write "," i  very  not  do  you  read  how ",0.22039411855595453,0.36258208751678467,0.99695736,0.43427098,1,1,1,1,1,2,1,3,3
15,Nicole,I do frequently do not know things,Do you write?,"y hair color is Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things"," do  you  have ",0.45279089609781903,0.6748190522193909,0.9925634,0.99649906,,,,,,,,,
16,Leolani2,Do you write?,"I know agent usually do verb.creation, but I do not know this case","s Do you have hair? I know agent usually do noun.body, but I do not know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write?"," i  know  agent  usually  do ,  but  i  do  not  know  this  case ",0.9195020932417649,0.9959757419732901,0.99836504,0.9971545,2,2,2,2,2,2,2,2,1
17,Nicole,"I know agent usually do verb.creation, but I do not know this case",I like reading," know this case Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case"," i  am  to ",0.38602595900495845,0.47899672389030457,0.9982931,0.99690175,,,,,,,,,
18,Leolani2,I like reading,"I just learned something, I am excited to get to know about you!"," Do you have fingers? I know agent usually do noun.body, but I do not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading"," i  just  read  that  i  am  curious  to  learn  to  know  more  it ",0.499810584462606,0.6183555172039912,0.9983982,0.9966393,2,3,2,2,2,2,2,3,3
19,Nicole,"I just learned something, I am excited to get to know about you!",stop," not know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you!","! ",0.0,0.269270658493042,0.99275315,0.99479747,,,,,,,,,
20,Leolani2,stop,I see,"know this case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop"," to  ' ",0.0,0.31447380781173706,0.99298847,0.9930184,,,,,,,,,
21,Leolani2,I see,Yo Can you tell me your name Stranger?,"his case I have 10 fingers I am curious. Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see","!  can  you  tell  me  your  favorite ? ",0.534798689186573,0.719070315361023,0.98965704,0.9847232,,,,,,,,,
22,,Yo Can you tell me your name Stranger?,Fajjaaz,". Has nicole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger?","? ",0.0,0.11339593678712845,0.83693933,0.96646076,,,,,,,,,
23,,Fajjaaz,So your name is Fajjaaz?,"cole ever write by a book? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz","?  your  name  is ? ",0.3699442267417908,0.5586619108915329,0.199121,0.71885115,,,,,,,,,
24,,So your name is Fajjaaz?,yes,"? No but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz So your name is Fajjaaz?","hello ",0.0,0.2548564076423645,0.5334598,0.60375845,,,,,,,,,
25,Leolani2,yes,"Tell me anything, I love learning things"," but I can write  I do frequently do not know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz So your name is Fajjaaz? yes"," tell  me  more  i  like  learning  things ",0.5410162316901344,0.6428040372473853,0.92486936,0.72746176,3,3,3,3,3,3,3,3,3
26,Fajjaaz,"Tell me anything, I love learning things",I can learn you new things!,"know things Do you write? I know agent usually do verb.creation, but I do not know this case I like reading I just learned something, I am excited to get to know about you! stop I see Yo Can you tell me your name Stranger? Fajjaaz So your name is Fajjaaz? yes Tell me anything, I love learning things"," i  always  tell  many  know  things ",0.11997931202252705,0.43343595663706463,0.9608382,0.95403963,,,,,,,,,
