Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani2,,What's new? Who are you? Stranger?,,?  up  how  are  you  _,0.144106781,0.610074619,0.001329569,0.81609744,,,,,,,,,
1,,What's new? Who are you? Stranger?,Nicole,What's new? Who are you? Stranger?,?,0,0.380981386,0.68163854,0.796168,,,,,,,,,
2,,Nicole,So your name is Nicole?,What's new? Who are you? Stranger? Nicole,?  whose  name ? ?,0.255093785,0.595996305,0.99716645,0.74840045,,,,,,,,,
3,,So your name is Nicole?,yes,What's new? Who are you? Stranger? Nicole So your name is Nicole?,?,0,0.096777953,0.9857895,0.73552406,,,,,,,,,
4,Leolani2,yes,Would you like to chat? I'll do my best to keep up,What's new? Who are you? Stranger? Nicole So your name is Nicole? yes,would  you  like  to ?  i  try  my  best  to  keep  quiet,0.564331103,0.771011161,0.98693943,0.75663704,,,,,,,,,
5,Nicole,Would you like to chat? I'll do my best to keep up,I like dogs,What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up,",  the  chatting ",0,0.31097197,0.057770118,0.40660393,,,,,,,,,
6,Leolani2,I like dogs,"I just learned something, I had never heard about dogs before!",What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs,i  just  learned  that  i  had  never  thought  of  dogs  before,0.530736773,0.778833178,0.9983044,0.067590795,5,3,5,4,4,5,5,4,4
7,Nicole,"I just learned something, I had never heard about dogs before!",Dogs are pets and very sweet," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before!",they  are  smart  and  very  smart,0.318648743,0.533233675,0.37073445,0.058811873,,,,,,,,,
8,Leolani2,Dogs are pets and very sweet,Wise words by wise men write wise deeds in wise pen," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet","!  used ,  deaf  dogs  and  good  words  by  a  words ",0.01458267,0.330139144,0.5716542,0.054469716,3,1,1,2,1,2,1,4,4
9,Nicole,Wise words by wise men write wise deeds in wise pen,Do you have a pet?," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen",do  you  have  a  dog,0.767725801,0.880233037,0.38962993,0.10061553,,,,,,,,,
10,Leolani2,Do you have a pet?,"I know agent usually do article:indefinite, but I do not know this case"," What's new? Who are you? Stranger? Nicole So your name is Nicole? yes Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet?","i  know  they  you  the ,  but  i  did  not  in  the . ",0.326257667,0.58257359,0.8741282,0.1336669,2,3,2,3,2,3,2,3,3
11,Nicole,"I know agent usually do article:indefinite, but I do not know this case",My parents have a dog,"es Would you like to chat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case",my  do  had  a  dog,0.55929389,0.602910298,0.99602246,0.71995765,,,,,,,,,
12,Leolani2,My parents have a dog,"I just learned something, I had never heard about my parents before!","hat? I'll do my best to keep up I like dogs I just learned something, I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog",i  just  learned  that  i  had  never  heard  about  dogs  dog  pet,0.575255682,0.700578431,0.9980145,0.9961675,5,3,4,4,5,5,4,5,4
13,Nicole,"I just learned something, I had never heard about my parents before!",Every agent has parents," I had never heard about dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before!",my  dog  has  a,0.195216775,0.47341802,0.996563,0.99415016,,,,,,,,,
14,Leolani2,Every agent has parents,Let me ask you something. Has every agent ever be family of a person?," dogs before! Dogs are pets and very sweet Wise words by wise men write wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents"," let  me  ask  you , can  an  pet  ever  been  afraid  of  a  dog ",0.366240835,0.547708512,0.9969412,0.9701655,3,3,3,4,4,3,3,3,5
15,Nicole,Let me ask you something. Has every agent ever be family of a person?,yes,"e wise deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person?",i,0,0.084455974,0.997791,0.9818586,,,,,,,,,
16,Leolani2,yes,I do frequently do not know things,"se deeds in wise pen Do you have a pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes",i  very  i  do  not  know  this,0.355603976,0.496858976,0.9980218,0.9941512,4,2,2,2,2,3,2,5,4
17,Nicole,I do frequently do not know things,stop,"pet? I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things",about,0,0.267929405,0.9931347,0.9965237,,,,,,,,,
18,Leolani2,stop,I do frequently do not know things,"I know agent usually do article:indefinite, but I do not know this case My parents have a dog I just learned something, I had never heard about my parents before! Every agent has parents Let me ask you something. Has every agent ever be family of a person? yes I do frequently do not know things stop",i  do  frequently  do  not  know  things,0.799671918,0.799671918,0.98482734,0.99637085,,,,,,,,,
